Region,Year,Temp
Europe,1950-59,7.7
Europe,1960-69,7.4
Europe,1970-79,7.5
Europe,1980-89,7.5
Europe,1990-99,8.1
Europe,2000-09,8.6
Europe,2010-19,8.8
Asia,1950-59,15.6
Asia,1960-69,15.8
Asia,1970-79,15.7
Asia,1980-89,15.7
Asia,1990-99,16.3
Asia,2000-09,16.5
Asia,2010-19,16.8
North America,1950-59,11.2
North America,1960-69,10.7
North America,1970-79,10.5
North America,1980-89,11.0
North America,1990-99,11.4
North America,2000-09,11.7
North America,2010-19,12.4
Africa,1950-59,21.3
Africa,1960-69,21.4
Africa,1970-79,21.3
Africa,1980-89,21.6
Africa,1990-99,21.7
Africa,2000-09,22.1
Africa,2010-19,22.5
Australia,1950-59,13.9
Australia,1960-69,13.9
Australia,1970-79,14.0
Australia,1980-89,14.2
Australia,1990-99,14.0
Australia,2000-09,14.4
Australia,2010-19,14.9
Oceania,1950-59,23.3
Oceania,1960-69,23.2
Oceania,1970-79,23.2
Oceania,1980-89,23.4
Oceania,1990-99,23.7
Oceania,2000-09,23.9
Oceania,2010-19,23.9











