ISO_3	Annual Temp	Annual Precip
AFG	12.92	311.32
AGO	21.51	991.31
ALB	11.27	1053.24
ARE	26.83	67.81
ARG	14.22	559.05
ARM	6.37	502.28
AUS	21.51	473.09
AUT	6.19	1161.18
AZE	12.22	433.88
BDI	20.27	1262.81
BEL	9.51	874.30
BEN	27.46	1034.27
BFA	28.18	774.29
BGD	25.47	2266.52
BGR	10.40	602.84
BHS	25.06	1280.08
BIH	9.02	1071.76
BLR	6.29	610.07
BLZ	25.06	2089.26
BOL	20.98	1095.56
BRA	24.92	1762.97
BRN	25.93	3160.78
BTN	8.58	1780.46
BWA	21.48	394.48
CAF	24.84	1354.67
CAN	-7.14	457.47
CHE	4.75	1646.41
CHL	8.37	631.17
CHN	6.33	574.77
CIV	26.30	1356.08
CMR	24.53	1613.07
COD	24.04	1535.04
COG	24.52	1635.05
COL	24.40	2618.59
COM	23.99	1846.39
CRI	23.85	3268.27
CUB	25.13	1329.49
CYP	18.71	436.25
CZE	7.67	667.00
DEU	8.50	713.50
DJI	27.64	196.19
DNK	7.82	698.65
DOM	23.93	1417.07
DZA	22.58	81.97
ECU	21.33	1945.27
EGY	22.12	32.91
ERI	26.07	257.70
ESH	23.39	35.83
ESP	13.03	622.99
EST	5.03	629.79
ETH	22.37	830.51
FIN	1.35	524.70
FJI	23.37	2905.11
FLK	5.79	568.95
FRA	10.54	838.93
GAB	25.00	1819.44
GBR	8.31	1154.30
GEO	7.36	959.44
GHA	27.25	1184.94
GIN	25.55	1693.56
GLP	25.02	3042.52
GMB	26.77	990.48
GNB	26.61	1646.95
GNQ	24.13	2213.31
GRC	13.66	668.22
GTM	23.07	2606.33
GUF	25.62	2841.63
GUY	25.80	2364.69
HND	23.39	1945.76
HRV	10.47	1037.35
HTI	24.48	1480.20
HUN	10.06	571.75
IDN	25.72	2801.54
IND	23.95	1072.22
IRL	9.11	1110.63
IRN	16.93	227.36
IRQ	21.58	196.34
ISL	1.35	1039.82
ISR	19.70	248.69
ITA	11.50	930.19
JAM	24.47	2114.18
JOR	18.35	102.31
JPN	10.36	1603.76
KAZ	5.99	252.26
KEN	24.50	678.11
KGZ	1.09	390.72
KHM	26.94	1918.68
KOR	10.66	1344.73
KSV	8.42	862.64
KWT	25.15	108.59
LAO	23.22	1758.35
LBN	15.61	721.11
LBR	25.25	2460.08
LBY	21.90	45.98
LKA	26.76	1699.41
LSO	11.97	775.67
LTU	6.24	651.72
LUX	8.88	848.81
LVA	5.63	638.87
MAR	17.23	322.27
MDA	9.67	538.89
MDG	22.01	1475.68
MEX	20.54	738.14
MKD	9.85	632.50
MLI	28.30	303.01
MMR	22.96	2007.70
MNE	7.91	1227.18
MNG	-0.50	227.23
MOZ	23.69	1007.81
MRT	27.69	90.00
MUS	23.13	1953.02
MWI	21.98	1112.29
MYS	25.14	2992.79
NAM	20.04	273.83
NCL	21.96	1456.21
NER	27.24	160.80
NGA	26.78	1138.53
NIC	24.59	2406.97
NLD	9.20	766.07
NOR	0.75	1051.84
NPL	12.74	1406.41
NZL	9.98	1790.95
OMN	25.45	88.21
PAK	19.98	301.02
PAN	24.72	2487.03
PER	19.46	1513.24
PHL	25.33	2317.59
PNG	25.05	3106.06
POL	7.87	600.66
PRI	24.28	2126.02
PRK	4.86	1110.43
PRT	14.97	835.35
PRY	23.48	1093.89
QAT	26.92	65.22
REU	21.08	1987.51
ROU	8.81	642.21
RUS	-6.32	434.80
RWA	19.01	1162.80
SAU	24.65	73.40
SDN	26.82	234.04
SEN	27.87	701.10
SJM	-9.14	543.01
SLB	25.68	3157.37
SLE	26.04	2471.72
SLV	24.77	1672.81
SOM	26.77	265.35
SRB	10.18	726.46
SSD	26.93	956.58
SUR	25.77	2316.81
SVK	7.27	767.52
SVN	8.04	1361.81
SWE	1.55	621.15
SWZ	20.41	798.37
SYR	17.65	296.37
TCD	26.65	330.51
TGO	26.80	1189.11
THA	26.25	1532.48
TJK	3.03	492.02
TKM	15.22	156.75
TLS	24.97	1239.77
TTO	25.86	1831.41
TUN	19.36	267.09
TUR	10.93	573.28
TZA	22.31	1052.38
UGA	22.60	1207.90
UKR	8.21	561.79
URY	17.57	1250.48
USA	6.75	654.54
UZB	12.52	191.82
VCT	26.82	1585.97
VEN	25.32	1957.65
VIR	25.74	2131.47
VNM	24.07	1835.16
VUT	23.84	2662.11
YEM	23.16	166.54
ZAF	17.60	474.78
ZMB	21.58	1004.75
ZWE	21.03	668.97
